closed_at,ticker,label,market,opened_at,entry_price,exit_price,pnl_pct,reason,hold_min
2026-09-17T01:31:27.600377+00:00,000660,SK하이닉스,KR,2026-09-17T01:08:17.487272+00:00,1761000.0,1751000.0,-0.57,매도,23.2
2026-09-17T05:03:01.868520+00:00,005930,삼성전자,KR,2026-09-17T04:41:10.572365+00:00,255500.0,254500.0,-0.39,매도,21.9
2026-09-17T05:31:33.582854+00:00,000660,SK하이닉스,KR,2026-09-17T04:08:25.941569+00:00,1760000.0,1751000.0,-0.51,정리,83.1
